proj,neuron,rank,subcomponent,weight,abs_weight
gate_proj,391,5,3660,0.04916,0.04916
gate_proj,391,6,4032,0.04698,0.04698
gate_proj,391,7,8451,-0.04666,0.04666
gate_proj,391,8,13059,-0.04467,0.04467
gate_proj,391,9,6058,0.04407,0.04407
gate_proj,391,10,23161,0.04222,0.04222
gate_proj,391,11,5430,-0.04168,0.04168
gate_proj,391,12,23529,0.04055,0.04055
gate_proj,391,13,1210,0.04051,0.04051
gate_proj,391,14,11229,-0.04001,0.04001
gate_proj,391,15,17512,-0.03875,0.03875
gate_proj,391,16,5785,-0.03874,0.03874
gate_proj,391,17,7478,-0.03729,0.03729
gate_proj,391,18,23771,0.03717,0.03717
gate_proj,391,19,1328,0.03707,0.03707
gate_proj,391,20,1823,0.03699,0.03699
gate_proj,391,21,3939,-0.03672,0.03672
gate_proj,391,22,15138,0.0355,0.0355
gate_proj,391,23,11378,-0.03549,0.03549
gate_proj,391,24,19599,-0.03481,0.03481
gate_proj,391,25,23087,-0.03362,0.03362
gate_proj,391,26,16385,-0.03323,0.03323
gate_proj,391,27,23647,-0.03153,0.03153
gate_proj,391,28,10560,-0.03119,0.03119
gate_proj,391,29,5101,0.03055,0.03055
gate_proj,391,30,20733,-0.03049,0.03049
gate_proj,391,31,7737,0.03035,0.03035
gate_proj,391,32,1304,0.03021,0.03021
gate_proj,391,33,3060,0.03019,0.03019
gate_proj,391,34,1196,-0.02916,0.02916
gate_proj,391,35,6424,0.02911,0.02911
gate_proj,391,36,11759,-0.02891,0.02891
gate_proj,391,37,11786,-0.02849,0.02849
gate_proj,391,38,6167,-0.02816,0.02816
gate_proj,391,39,4112,0.0277,0.0277
gate_proj,391,40,23023,0.02726,0.02726
gate_proj,391,41,18570,0.02659,0.02659
gate_proj,391,42,11124,-0.02648,0.02648
gate_proj,391,43,1428,-0.02614,0.02614
gate_proj,391,44,16085,-0.02598,0.02598
gate_proj,391,45,13603,-0.02579,0.02579
gate_proj,391,46,1034,-0.02538,0.02538
gate_proj,391,47,4119,0.02527,0.02527
gate_proj,391,48,24467,-0.02519,0.02519
gate_proj,391,49,19203,0.02436,0.02436
gate_proj,391,50,1404,0.02406,0.02406
gate_proj,2405,1,17298,-0.12643,0.12643
gate_proj,2405,2,6731,-0.1037,0.1037
gate_proj,2405,3,16401,0.07943,0.07943
gate_proj,2405,4,4112,0.07851,0.07851
gate_proj,2405,5,11356,0.07741,0.07741
gate_proj,2405,6,23104,-0.0748,0.0748
gate_proj,2405,7,19599,-0.07479,0.07479
gate_proj,2405,8,13881,0.07432,0.07432
gate_proj,2405,9,8844,0.07397,0.07397
gate_proj,2405,10,5430,-0.07261,0.07261
gate_proj,2405,11,12665,-0.06805,0.06805
gate_proj,2405,12,20655,0.06335,0.06335
gate_proj,2405,13,8673,0.06279,0.06279
gate_proj,2405,14,21211,0.06271,0.06271
gate_proj,2405,15,7548,0.06162,0.06162
gate_proj,2405,16,5179,-0.06091,0.06091
gate_proj,2405,17,21330,-0.06067,0.06067
gate_proj,2405,18,1823,-0.05958,0.05958
gate_proj,2405,19,12602,-0.05593,0.05593
gate_proj,2405,20,16041,0.05525,0.05525
gate_proj,2405,21,11141,0.05421,0.05421
gate_proj,2405,22,23035,0.05377,0.05377
gate_proj,2405,23,7478,-0.05371,0.05371
gate_proj,2405,24,11759,0.05361,0.05361
gate_proj,2405,25,13262,-0.05246,0.05246
gate_proj,2405,26,23053,-0.05022,0.05022
gate_proj,2405,27,1328,0.04734,0.04734
gate_proj,2405,28,11681,-0.04552,0.04552
gate_proj,2405,29,17747,-0.04254,0.04254
gate_proj,2405,30,12614,-0.04229,0.04229
gate_proj,2405,31,16432,-0.04138,0.04138
gate_proj,2405,32,5147,-0.0406,0.0406
gate_proj,2405,33,23606,-0.03927,0.03927
gate_proj,2405,34,20915,0.03834,0.03834
gate_proj,2405,35,16863,0.03687,0.03687
gate_proj,2405,36,15182,0.03608,0.03608
gate_proj,2405,37,23529,0.03469,0.03469
gate_proj,2405,38,6424,0.0343,0.0343
gate_proj,2405,39,4032,0.03408,0.03408
gate_proj,2405,40,4092,0.03317,0.03317
gate_proj,2405,41,18894,-0.03284,0.03284
gate_proj,2405,42,9854,-0.03271,0.03271
gate_proj,2405,43,19909,0.03266,0.03266
gate_proj,2405,44,17512,-0.0313,0.0313
gate_proj,2405,45,7737,0.03049,0.03049
gate_proj,2405,46,12162,-0.02994,0.02994
gate_proj,2405,47,14032,0.02973,0.02973
gate_proj,2405,48,6825,-0.02916,0.02916
gate_proj,2405,49,11229,-0.02872,0.02872
gate_proj,2405,50,11378,-0.02811,0.02811
gate_proj,11942,1,7548,0.09046,0.09046
gate_proj,11942,2,12602,0.08638,0.08638
gate_proj,11942,3,17298,0.08212,0.08212
gate_proj,11942,4,23771,0.07681,0.07681
gate_proj,11942,5,5430,0.06357,0.06357
gate_proj,11942,6,12665,0.06114,0.06114
gate_proj,11942,7,4112,0.0588,0.0588
gate_proj,11942,8,23035,-0.05828,0.05828
gate_proj,11942,9,17747,-0.05751,0.05751
gate_proj,11942,10,21330,-0.05579,0.05579
gate_proj,11942,11,11787,0.05413,0.05413
gate_proj,11942,12,7478,-0.0538,0.0538
gate_proj,11942,13,23104,0.05172,0.05172
gate_proj,11942,14,4032,0.05042,0.05042
gate_proj,11942,15,11759,-0.04962,0.04962
gate_proj,11942,16,11229,-0.04923,0.04923
gate_proj,11942,17,1328,-0.04714,0.04714
gate_proj,11942,18,13262,0.04502,0.04502
gate_proj,11942,19,11141,0.04467,0.04467
gate_proj,11942,20,6731,0.0438,0.0438
gate_proj,11942,21,18309,-0.04302,0.04302
gate_proj,11942,22,1823,0.0421,0.0421
gate_proj,11942,23,3939,-0.04174,0.04174
gate_proj,11942,24,16041,-0.04171,0.04171
gate_proj,11942,25,6825,0.04094,0.04094
gate_proj,11942,26,11124,-0.04011,0.04011
gate_proj,11942,27,21211,-0.0394,0.0394
gate_proj,11942,28,17512,0.03932,0.03932
gate_proj,11942,29,4092,0.03901,0.03901
gate_proj,11942,30,20655,0.03805,0.03805
gate_proj,11942,31,20804,0.03753,0.03753
gate_proj,11942,32,12162,-0.0369,0.0369
gate_proj,11942,33,23529,0.03655,0.03655
gate_proj,11942,34,7737,0.03652,0.03652
gate_proj,11942,35,11224,0.03591,0.03591
gate_proj,11942,36,5101,0.03512,0.03512
gate_proj,11942,37,4435,0.03492,0.03492
gate_proj,11942,38,19214,-0.03485,0.03485
gate_proj,11942,39,13881,-0.03447,0.03447
gate_proj,11942,40,1304,0.03421,0.03421
gate_proj,11942,41,23053,-0.034,0.034
gate_proj,11942,42,2336,0.03392,0.03392
gate_proj,11942,43,15120,-0.03342,0.03342
gate_proj,11942,44,9854,0.03336,0.03336
gate_proj,11942,45,23606,-0.03292,0.03292
gate_proj,11942,46,11356,-0.03281,0.03281
gate_proj,11942,47,16432,0.03266,0.03266
gate_proj,11942,48,11378,0.03263,0.03263
gate_proj,11942,49,8821,-0.03197,0.03197
gate_proj,11942,50,16401,-0.03133,0.03133
gate_proj,4549,1,7548,0.16012,0.16012
gate_proj,4549,2,12602,0.13455,0.13455
gate_proj,4549,3,6731,-0.08862,0.08862
gate_proj,4549,4,17512,0.08792,0.08792
gate_proj,4549,5,4032,0.08224,0.08224
gate_proj,4549,6,11759,-0.07321,0.07321
gate_proj,4549,7,23771,0.07283,0.07283
gate_proj,4549,8,20804,0.05514,0.05514
gate_proj,4549,9,23104,0.05489,0.05489
gate_proj,4549,10,4112,0.05255,0.05255
gate_proj,4549,11,14179,0.05202,0.05202
gate_proj,4549,12,10823,0.05131,0.05131
gate_proj,4549,13,11224,0.05031,0.05031
gate_proj,4549,14,17747,-0.05005,0.05005
gate_proj,4549,15,23053,-0.04983,0.04983
gate_proj,4549,16,8821,-0.04562,0.04562
gate_proj,4549,17,7478,-0.04544,0.04544
gate_proj,4549,18,4092,0.04453,0.04453
gate_proj,4549,19,23035,-0.04378,0.04378
gate_proj,4549,20,12665,0.04364,0.04364
gate_proj,4549,21,563,-0.04355,0.04355
gate_proj,4549,22,5645,0.04244,0.04244
gate_proj,4549,23,21330,-0.0403,0.0403
gate_proj,4549,24,5430,0.04021,0.04021
gate_proj,4549,25,5216,-0.03993,0.03993
gate_proj,4549,26,18309,-0.03939,0.03939
gate_proj,4549,27,8844,0.03914,0.03914
gate_proj,4549,28,11229,-0.03887,0.03887
gate_proj,4549,29,24467,-0.03848,0.03848
gate_proj,4549,30,1404,-0.03834,0.03834
gate_proj,4549,31,13881,0.03713,0.03713
gate_proj,4549,32,1304,0.03652,0.03652
gate_proj,4549,33,15138,-0.03596,0.03596
gate_proj,4549,34,11681,-0.03581,0.03581
gate_proj,4549,35,23161,0.03498,0.03498
gate_proj,4549,36,16357,0.0349,0.0349
gate_proj,4549,37,16863,-0.03452,0.03452
gate_proj,4549,38,14032,-0.03364,0.03364
gate_proj,4549,39,20655,0.03359,0.03359
gate_proj,4549,40,16432,0.03303,0.03303
gate_proj,4549,41,3939,-0.03244,0.03244
gate_proj,4549,42,12614,-0.03208,0.03208
